,YEAR,MONTH,LATITUDE,LONGITUDE,N_MOUNT_PLEASANT,N_GRANDVIEW-WOODLAND,N_CENTRAL_BUSINESS_DISTRICT,N_WEST_END,N_RENFREW-COLLINGWOOD,N_FAIRVIEW,N_VICTORIA-FRASERVIEW,N_KILLARNEY,N_HASTINGS-SUNRISE,N_KITSILANO,N_KENSINGTON-CEDAR_COTTAGE,N_MARPOLE,N_WEST_POINT_GREY,N_STRATHCONA,N_DUNBAR-SOUTHLANDS,N_SHAUGHNESSY,N_OAKRIDGE,N_RILEY_PARK,N_SOUTH_CAMBIE,N_SUNSET,N_STANLEY_PARK,N_KERRISDALE,N_ARBUTUS_RIDGE,N_MUSQUEAM,G_50M,G_100M,H_ADULT,H_MEN,H_WOMEN_FAM,H_YOUTH,P_AVG5,P_AVG10,S_WATERFRONT,S_BURRARD,S_GRANVILLE,S_STADIUM-CHINATOWN,S_MAIN_ST.-SCIENCE_WORLD,S_BROADWAY,S_NANAIMO,S_29TH_AVENUE,S_JOYCE-COLLINGWOOD,S_RUPERT,S_RENFREW,S_COMMERCIAL_DRIVE,S_VCC-CLARK,S_WATERFRONT,S_VANCOUVER_CITY_CENTRE,S_YALETOWN-ROUNDHOUSE,S_OLYMPIC_VILLAGE,S_BROADWAY-CITY_HALL,S_KING_EDWARD,S_OAKRIDGE-41st._AVE.,S_LANGARA-49th_AVE.,S_MARINE_DRIVE,S_DISTANCE,SL_50M,MEAN_TEMP_C,MIN_TEMP_C,MAX_TEMP_C,TOTAL_PERCIP_MM
151700,2006,3,49.2654464609,-123.099972806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,71,550.570210151,1749.02404806,2224.48216382,2215.12225,419866.666667,437233.333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.090541924,4,6.842372881,3.206779661,10.40327869,242.8
152177,2006,3,49.2506487407,-123.034107462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3220.07946339,5403.23047011,7269.50101807,7255.50556533,479000.0,393650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.98034026,12,6.842372881,3.206779661,10.40327869,242.8
152341,2006,2,49.2811239429,-123.053541793,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,1615.96860151,2725.65839168,5364.4053157,5335.03664257,141210.0,135760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.45756381,7,4.603921569,1.301886792,7.940384615,113.6
152500,2006,2,49.2795466679,-123.11089438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,343.571235833,353.244103577,1249.49175643,1214.7473076,19026300.0,11291525.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4444476468,10,4.603921569,1.301886792,7.940384615,113.6
152612,2006,12,49.28528635,-123.119916491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,597.138229488,912.260572056,1230.26442281,856.141479921,19976200.0,21152335.6154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.94449045,8,4.872580645,2.49516129,7.208064516,294.6
153008,2006,6,49.2128307232,-123.028813625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6924.2585832,8913.37139578,9941.85104107,9942.16675937,1945600.0,1041600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.32281415,4,16.63666667,12.59166667,20.63,131.2
153130,2006,1,49.2274281194,-123.091981654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,4011.87708007,5841.82399163,5878.79470892,5892.31365861,588800.0,491700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1776.90764906,8,6.466129032,4.498387097,8.385483871,625.0
154090,2006,4,49.2812698795,-123.097364426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,287,40.1459553488,272.026388576,2240.23856021,2207.01521581,934820.0,619610.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.688792522,12,9.647457627,5.991666667,13.26440678,148.2
154133,2006,7,49.2702519514,-123.140881765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1659.29211061,2066.19325351,1167.22424443,1203.24718943,86930.0,83460.6862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.68097301,4,18.74193548,14.46451613,22.95967742,38.8
154269,2006,12,49.2817660921,-123.115447788,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,112,198.061176037,446.676816173,1100.48714906,930.925673132,3481200.0,5518380.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.469312608,6,4.872580645,2.49516129,7.208064516,294.6
154546,2006,5,49.2613121524,-123.111530126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,428.169850829,1846.29530754,1894.25944611,1901.56454643,335400.0,495400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.129603328,2,13.08064516,8.958064516,17.15483871,89.8
155885,2006,2,49.2856196549,-123.141251481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1164.10702849,2106.02726997,1573.58115769,1188.25108551,5714372.0,4359086.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.33780313,5,4.603921569,1.301886792,7.940384615,113.6
156195,2006,11,49.2809278077,-123.081194575,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,71,633.519603462,720.107301369,3372.75045039,3341.86033986,380600.0,418100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.73565246,8,5.803333333,3.388333333,8.185,832.0
156383,2006,9,49.2756212692,-123.067505516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,653.346847738,1844.50824771,4307.65273548,4281.17247232,460600.0,423900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.60722937,2,15.35666667,11.27833333,19.39,96.4
156528,2006,7,49.27800469,-123.131765088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,574.826926865,1226.48232999,486.294574855,337.241224377,2227250.98039,1538425.4902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,824.869877199,4,18.74193548,14.46451613,22.95967742,38.8
156558,2006,5,49.2166157985,-123.081577434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5383.68878409,7220.82759163,7292.19651901,7304.87763142,383000.0,384700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2702.84064983,3,13.08064516,8.958064516,17.15483871,89.8
157043,2006,9,49.2147617508,-123.131359509,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5607.56391947,7108.45884487,6724.97355588,6753.66174653,553400.0,554600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1191.67475808,4,15.35666667,11.27833333,19.39,96.4
157242,2006,9,49.2865156982,-123.1320553,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,669.664930472,1581.97693676,1322.41900442,832.684322327,2286730.0,1742301.66667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.073644507,5,15.35666667,11.27833333,19.39,96.4
157876,2006,1,49.2585773842,-123.120808551,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110.11488721,2176.65237687,1892.66581034,1913.63002813,280574.161491,450408.509317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,640.465084056,3,6.466129032,4.498387097,8.385483871,625.0
158032,2006,8,49.2768114981,-123.1089606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,563.215315186,445.947149932,1303.84774608,1274.22753314,22992600.0,17605000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.802702326,10,17.54032258,13.31774194,21.71451613,11.0
158334,2006,11,49.2190800432,-123.041421563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5942.95178519,7860.56191182,8800.0344053,8800.97421336,2765800.0,1734300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.24352524,4,5.803333333,3.388333333,8.185,832.0
159018,2006,10,49.2855510583,-123.119376472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,581.046779523,924.811271351,1273.22153133,904.361246126,35669000.0,20774545.6154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3259373217,11,10.09516129,7.041935484,13.10645161,169.2
159145,2006,7,49.2287648585,-123.128310791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4075.99233182,5536.12569174,5160.39798747,5188.40403309,652800.0,640300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,912.205778827,6,18.74193548,14.46451613,22.95967742,38.8
159386,2006,7,49.2827609805,-123.117618193,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,342.053314948,589.451427408,1073.51159033,821.107198184,51347600.0,33125000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.569194883,24,18.74193548,14.46451613,22.95967742,38.8
159995,2006,11,49.2335296521,-123.193722911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6989.18159554,7557.54766593,6725.7901979,6763.642061,534200.0,555100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5657.53413832,12,5.803333333,3.388333333,8.185,832.0
160186,2006,2,49.2353707815,-123.026415267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4847.7303072,6988.39443557,8536.40549479,8528.20943165,4052533.44262,2168216.72131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.903790326,6,4.603921569,1.301886792,7.940384615,113.6
160614,2006,12,49.2182886047,-123.04131229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6028.97664557,7942.49351116,8868.23719146,8869.41736544,3488200.0,2043200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.72115064,5,4.872580645,2.49516129,7.208064516,294.6
161172,2006,3,49.2445751856,-123.102489106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,26,1990.70685619,3800.36748949,3830.19285646,3842.57437392,399800.0,401900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1063.36511327,4,6.842372881,3.206779661,10.40327869,242.8
161252,2006,1,49.2474574661,-123.16923167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4669.67049281,5195.42327623,4367.16282983,4405.04699057,1069200.0,1037100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3928.3641058,2,6.466129032,4.498387097,8.385483871,625.0
163003,2006,11,49.2859730981,-123.1269581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,468.001410221,1265.42709184,1203.483368,715.021224159,1536700.0,5366700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.383766989,17,5.803333333,3.388333333,8.185,832.0
163018,2006,1,49.2553816532,-123.177678718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4750.56718808,5202.34257703,4313.07124331,4349.58696325,1141400.0,1134300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.37414936,2,6.466129032,4.498387097,8.385483871,625.0
164191,2006,5,49.2706650014,-123.147999883,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,2001.83255769,2533.85530963,1628.50142731,1661.94449145,429600.0,849500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.01885953,3,13.08064516,8.958064516,17.15483871,89.8
164286,2006,10,49.2666465782,-123.171785227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3709.20963849,4319.46236082,3414.80568447,3447.63041186,417600.0,509500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3731.09918916,3,10.09516129,7.041935484,13.10645161,169.2
164792,2006,6,49.2605089714,-123.13155185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566.37917096,2269.20968063,1666.5187374,1698.92546071,211300.0,593250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1246.33673553,7,16.63666667,12.59166667,20.63,131.2
164961,2006,4,49.2539897026,-123.048196479,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239.67474413,4394.7177084,6179.46396619,6165.71571055,1121600.0,774300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.431710877,2,9.647457627,5.991666667,13.26440678,148.2
165634,2006,4,49.2774190141,-123.109597166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,507.501646922,388.742389631,1269.66768664,1238.72016704,20071200.0,13970200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.964826013,10,9.647457627,5.991666667,13.26440678,148.2
165827,2006,12,49.269802044,-123.083763327,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,962.874007588,1441.5525664,3180.65448756,3160.16006131,4262621.0,5173710.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.327703103,8,4.872580645,2.49516129,7.208064516,294.6
165875,2006,9,49.2624682575,-123.12600081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,1107.50911784,1882.88166138,1411.67051597,1438.31946418,595006.818182,1321003.40909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,817.267802462,13,15.35666667,11.27833333,19.39,96.4
166804,2006,4,49.2792038982,-123.0848801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,24,547.071934157,534.233675021,3076.08919242,3046.22170434,601400.0,472200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.17983915,3,9.647457627,5.991666667,13.26440678,148.2
166937,2006,8,49.2792861982,-123.102155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,315.897016864,319.288944342,1844.11751269,1812.00762131,2392800.0,1627300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.426489253,23,17.54032258,13.31774194,21.71451613,11.0
167003,2006,7,49.2623268981,-123.0697947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,781.42452223,2665.15963631,4380.10729077,4364.34151188,252710.0,396666.428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9366604683,16,18.74193548,14.46451613,22.95967742,38.8
167173,2006,7,49.2872700982,-123.1418223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1279.50226163,2224.97330362,1739.77439046,1332.57988239,2564040.0,3844920.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.32411023,18,18.74193548,14.46451613,22.95967742,38.8
167259,2006,8,49.2605900607,-123.123235658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056.79144659,2003.8345785,1639.13192008,1662.39953303,4082000.0,2521800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,661.491001176,3,17.54032258,13.31774194,21.71451613,11.0
167677,2006,7,49.269767598,-123.146973477,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,2008.62266531,2496.80104317,1592.3780287,1627.03867561,1759400.0,1451900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1895.53350421,3,18.74193548,14.46451613,22.95967742,38.8
