"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  40 - 44,465,"1,635",725,"1,060","1,510","1,415","1,940",425,"1,025","1,540",950,"1,285",340,"1,850",900,275,225,680,"1,335","1,060","1,995",425,"23,030","85,105"
  45 - 49,575,"1,390",905,925,"1,185","1,080","1,635",555,"1,020","1,375",970,970,505,"1,530",790,330,245,590,"1,100","1,070","1,735",490,"20,935","79,025"
  50 - 54,605,"1,380",975,870,"1,030","1,005","1,310",625,900,"1,295",810,775,485,"1,360",745,395,240,610,985,995,"1,585",560,"19,495","71,405"
  55 - 59,350,930,680,630,580,650,825,445,585,885,470,445,300,785,445,290,120,400,650,615,"1,175",405,"12,610","50,425"
  60 - 64,265,710,455,450,455,690,835,320,500,510,365,365,225,900,360,215,100,420,635,550,865,290,"10,445","38,925"
  65 - 69,245,530,375,320,495,815,870,250,470,455,320,300,240,920,360,190,95,405,655,565,640,215,"9,690","33,425"
  70 - 74,240,390,305,315,415,625,730,210,370,380,300,230,225,740,355,160,105,385,515,445,585,190,"8,210","28,120"
  75 - 79,210,260,225,255,255,430,470,155,275,275,230,145,230,510,220,125,95,275,380,360,470,160,"6,000","21,160"
  80 - 84,190,135,145,160,120,215,210,110,175,150,155,95,160,285,130,105,60,160,170,220,235,100,"3,455","12,585"
  85 - 89,155,55,90,110,70,115,135,75,80,85,100,40,100,135,65,50,40,85,105,125,145,45,"2,000","6,585"
  90 - 94,50,20,25,45,15,40,35,30,25,20,35,15,30,35,35,25,25,25,25,40,40,15,665,"1,955"
  95 - 99,15,5,0,10,5,10,5,5,10,10,10,5,0,10,5,10,10,5,5,10,5,5,135,400
  100 +,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,55
Female,"7,975","11,560","10,900","15,965","14,680","16,820","22,585","7,555","13,625","20,885","11,790","12,275","6,335","22,895","11,520","4,715","3,690","5,045","16,920","14,120","20,125","6,660","277,965","1,014,235"
  0 - 4,220,355,475,435,720,930,"1,355",205,620,655,395,625,185,"1,200",595,150,130,140,"1,105",570,400,265,"11,700","50,960"
  5 - 9,315,190,550,245,650,965,"1,285",315,715,505,435,515,200,"1,270",545,190,150,195,"1,060",690,205,310,"11,465","57,180"
  10 - 14,430,160,750,240,595,915,"1,185",465,825,470,620,395,305,"1,265",520,270,130,200,970,895,170,330,"12,050","59,805"
  15 - 19,545,340,855,375,585,885,"1,280",585,920,600,790,420,505,"1,370",610,405,175,195,"1,010",970,380,410,"14,155","63,575"
  20 - 24,535,"1,135",860,"1,130","1,180","1,105","1,555",540,890,"1,785",945,"1,040",530,"1,705",810,345,290,230,"1,230",990,"2,145",465,"21,390","68,320"
  25 - 29,430,"1,930",590,"2,300","1,515","1,265","1,910",455,845,"3,235",900,"1,470",350,"1,840",980,270,395,305,"1,450",895,"3,265",480,"27,035","72,185"
  30 - 34,355,"1,760",620,"2,255","1,655","1,500","2,085",435,940,"3,075",985,"1,645",270,"1,940","1,095",265,375,345,"1,460",915,"2,730",465,"27,145","80,885"
  35 - 39,485,"1,215",715,"1,595","1,530","1,535","2,145",480,"1,125","2,175","1,030","1,445",395,"2,165","1,115",285,315,375,"1,385","1,125","1,995",470,"25,075","88,245"
  40 - 44,615,845,900,"1,310","1,410","1,385","1,915",595,"1,250","1,740","1,170","1,155",485,"1,920","1,015",345,290,375,"1,330","1,260","1,460",510,"23,215","89,480"
  45 - 49,710,815,"1,015","1,180","1,205","1,170","1,705",690,"1,220","1,585",995,940,605,"1,645",925,435,270,335,"1,140","1,150","1,335",560,"21,590","81,915"
  50 - 54,615,760,"1,065","1,135",925,"1,030","1,335",680,"1,055","1,435",865,675,520,"1,415",860,435,250,290,"1,010","1,045","1,335",590,"19,260","72,435"
  55 - 59,375,555,610,805,600,725,940,470,655,970,495,460,300,960,495,265,140,180,790,610,"1,005",425,"12,785","50,670"
  60 - 64,295,415,450,555,490,735,935,325,580,610,380,395,260,"1,060",435,225,115,230,730,655,790,295,"10,925","40,380"
  65 - 69,305,320,370,480,460,820,895,270,515,500,335,290,275,965,405,170,110,310,700,550,655,220,"9,885","35,110"
  70 - 74,310,270,330,470,430,680,745,245,490,495,370,275,325,820,370,185,130,330,585,540,635,250,"9,240","32,745"
  75 - 79,430,210,290,455,340,535,600,255,365,440,355,220,320,610,310,170,130,320,460,515,630,225,"8,160","29,255"
  80 - 84,455,140,205,425,225,340,380,260,295,325,315,145,250,410,215,125,115,315,290,375,525,200,"6,320","21,370"
  85 - 89,355,85,165,350,125,205,210,180,180,200,235,100,175,210,125,100,95,215,165,250,325,120,"4,160","12,930"
  90 - 94,150,45,65,175,40,80,95,70,100,65,120,50,65,100,80,50,50,110,45,100,110,45,"1,835","5,260"
  95 - 99,40,10,10,45,5,15,25,15,30,15,40,10,10,15,15,20,25,50,5,30,30,10,485,"1,340"
  100 +,10,0,5,15,5,0,0,0,10,5,10,5,0,5,0,0,5,5,0,0,0,5,80,200
20% Sample Data:,,,,,,,,,,,,,,,,,,,,,,,,
Total population 15 years and over by legal marital status,"12,135","26,280","17,510","25,700","24,990","27,075","36,280","11,960","21,030","36,070","18,840","21,290","10,415","37,005","18,490","7,500","5,765","9,955","26,695","22,120","40,310","10,840","467,190","1,620,920"
  Never legally married (single),"4,145","14,435","6,170","12,945","12,755","9,850","13,650","4,190","7,050","19,080","7,550","11,175","3,470","13,025","7,600","2,775","2,645","4,480","8,760","7,495","23,625","4,015","200,505","549,950"
  Legally married (and not separated),"5,940","7,230","9,500","8,020","7,165","13,360","17,535","6,065","10,870","11,100","8,615","6,305","5,610","19,300","8,185","4,005","2,425","2,715","14,495","11,670","8,910","5,180","193,665","818,945"
"  Separated, but still legally married",245,965,285,815,"1,215",680,"1,085",255,515,"1,075",465,885,160,910,485,120,60,485,615,525,"1,425",240,"13,470","49,675"
  Divorced,790,"2,750",810,"2,905","2,605","1,555","2,075",740,"1,460","3,610","1,355","2,085",405,"1,810","1,300",280,335,995,"1,190","1,040","4,750",820,"35,590","118,675"
  Widowed,"1,015",900,750,"1,015","1,245","1,635","1,940",715,"1,135","1,210",850,835,775,"1,955",915,325,305,"1,280","1,635","1,390","1,600",585,"23,960","83,665"
Total population 15 years and over by common-law status,"12,140","26,275","17,510","25,695","24,990","27,075","36,280","11,960","21,035","36,070","18,840","21,285","10,415","37,005","18,485","7,505","5,765","9,950","26,695","22,120","40,310","10,840","467,190","1,620,915"
  Not in a common law relationship,"11,710","23,215","16,760","22,400","21,945","25,640","34,470","11,430","20,105","31,275","17,590","18,960","10,225","35,545","17,155","7,195","5,305","9,570","25,840","21,560","34,650","10,115","431,700","1,516,665"
  In a common law relationship,430,"3,065",745,"3,300","3,045","1,445","1,810",530,925,"4,795","1,250","2,330",190,"1,460","1,330",310,465,380,855,555,"5,655",725,"35,490","104,255"
Total population by mother tongue,"14,040","27,725","21,210","27,545","28,975","32,805","44,235","13,965","25,470","39,430","21,740","24,400","11,900","44,785","21,820","8,755","6,675","11,055","33,270","26,505","41,910","12,680","539,630","1,967,475"
 Single responses,"13,845","27,300","21,070","27,145","28,410","32,145","43,205","13,825","24,810","39,050","21,275","23,645","11,650","43,590","21,375","8,575","6,490","10,840","32,215","25,835","41,320","12,570","528,910","1,934,610"
  English,"7,200","16,400","14,970","19,290","16,600","11,705","14,150","7,950","9,900","30,940","9,200","13,170","3,880","11,890","10,405","5,095","3,690","4,200","8,605","7,060","26,535","9,520","261,370","1,184,495"
  French,110,880,275,885,580,230,460,115,225,"1,075",210,605,80,230,300,85,180,250,175,100,"1,540",285,"8,855","24,745"
  Non-official languages,"6,540","10,015","5,830","6,970","11,235","20,210","28,590","5,765","14,685","7,035","11,860","9,860","7,690","31,475","10,670","3,395","2,620","6,390","23,440","18,680","13,245","2,765","258,685","725,365"
    Italian,80,135,85,250,790,"2,345",480,80,200,225,45,145,35,925,130,20,30,25,70,205,205,35,"6,560","18,840"
    German,180,405,370,445,465,250,385,160,260,805,190,355,105,180,285,70,40,100,725,235,875,220,"7,090","32,335"
"    Chinese, n.o.s.","1,875","2,045","1,560",995,"2,175","5,860","6,805","1,840","3,625",765,"3,395","1,755","2,600","8,440","2,510","1,360",695,"1,285","3,860","5,540",925,435,"60,320","122,390"
    Cantonese,"1,645","1,735","1,285",785,"2,385","6,660","8,585","1,630","4,680",545,"3,185","1,150","2,005","8,925","2,680",600,740,"3,050","4,045","6,490",615,520,"63,910","121,910"
    Punjabi,0,35,40,75,45,280,"1,695",50,490,60,180,70,135,"1,680",320,0,10,30,"7,715","1,320",55,15,"14,295","87,760"
    Spanish,110,565,125,355,475,570,810,90,665,485,185,435,40,575,380,110,125,230,495,360,815,70,"8,070","22,470"
    Portuguese,15,45,15,80,310,275,560,15,170,60,35,40,15,820,180,30,15,35,55,150,170,35,"3,120","8,190"
    Polish,35,180,105,215,210,50,120,60,290,230,65,140,45,155,120,55,95,60,85,15,460,40,"2,785","12,495"
    Arabic,10,170,10,100,40,15,110,15,35,85,30,85,110,65,60,10,15,25,55,50,160,10,"1,245","5,420"
    Tagalog (Pilipino),80,185,70,310,545,425,"2,160",70,410,80,670,"1,610",130,"1,835",830,135,65,115,"1,530",905,480,35,"12,660","32,560"
    Ukrainian,15,70,35,80,35,85,55,20,110,95,60,135,25,70,75,10,50,50,35,40,175,45,"1,365","5,805"
    Dutch,45,180,95,135,80,25,40,50,35,200,10,40,25,90,35,30,15,25,30,40,220,110,"1,540","10,135"
    Vietnamese,30,95,40,45,"1,255","1,200","2,395",0,270,45,95,995,45,"1,915",550,10,0,410,"1,315",840,95,10,"11,640","19,640"
    Greek,280,70,115,90,75,0,130,65,75,775,40,35,20,175,105,85,60,15,65,110,40,135,"2,570","5,195"
    Mandarin,"1,085",685,870,650,205,735,925,840,765,320,"1,355",365,"1,280","1,620",835,425,300,435,475,705,520,225,"15,640","47,170"
    Russian,15,225,45,185,120,35,115,65,105,180,480,190,60,45,85,10,35,10,35,85,430,45,"2,590","8,300"
    Persian (Farsi),40,440,10,235,95,135,80,30,125,260,220,155,120,60,35,25,0,25,25,70,800,15,"2,995","20,335"
    Korean,485,520,205,170,185,15,195,240,625,165,220,135,200,360,70,50,40,45,40,45,"1,335",100,"5,400","25,695"
    Urdu,0,25,0,0,0,0,15,0,10,0,20,20,0,110,20,0,0,15,220,30,100,0,590,"4,055"
    Hungarian,25,145,95,95,90,75,45,20,60,110,155,65,30,65,120,40,30,40,50,65,205,80,"1,700","6,295"
    Cree,0,20,0,0,35,0,20,0,0,10,0,20,0,0,0,0,0,45,0,0,0,0,145,310
    Hindi,15,30,45,10,105,190,985,35,245,50,40,60,55,"1,065",270,0,10,30,830,450,30,20,"4,580","19,305"
    Croatian,35,65,20,45,60,150,110,25,120,135,25,60,40,230,55,20,10,15,70,130,155,30,"1,605","6,285"
    Creoles,0,10,0,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,65,225
    Inuktitut(Eskimo),0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40
    Serbo-Croatian,20,165,0,125,85,15,0,0,40,100,60,15,10,0,55,0,0,0,10,0,390,0,"1,080","2,895"
    Ojibway,0,45,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,90,145
    Danish,25,15,20,55,25,20,35,10,0,20,10,10,15,25,0,15,10,0,35,15,60,50,470,"3,050"
    Montagnais-Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Micmac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Dogrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
    South Slave,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,15
    Chipewyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10
    Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Other languages,400,"1,690",570,"1,445","1,335",800,"1,725",340,"1,240","1,235","1,105","1,790",555,"2,025",840,270,225,270,"1,555",790,"3,935",475,"24,535","76,075"
 Multiple responses,195,420,140,405,565,665,"1,030",140,655,380,470,755,250,"1,195",450,185,190,215,"1,055",675,590,105,"10,720","32,865"
  English and French,35,85,45,75,120,70,10,10,35,80,45,100,10,50,40,15,25,35,120,10,135,40,"1,185","3,430"
  English and non-official language(s),130,290,85,285,405,555,990,110,585,260,380,600,225,"1,090",400,150,155,175,935,655,390,60,"8,900","27,820"
  French and non-official language(s),15,35,10,45,25,20,15,25,0,45,25,30,10,45,10,10,10,10,0,0,50,0,425,"1,105"
"  English, French and non-official language(s)",10,10,0,10,20,15,20,0,40,10,15,20,0,20,0,10,0,0,0,0,15,0,205,510
Total population by knowledge of official languages,"14,040","27,725","21,210","27,550","28,975","32,810","44,235","13,965","25,465","39,430","21,740","24,395","11,900","44,785","21,820","8,760","6,675","11,060","33,270","26,510","41,910","12,675","539,630","1,967,475"
  English only,"11,940","22,885","17,845","22,460","23,320","26,455","35,560","11,805","21,835","31,550","18,705","19,980","9,895","36,410","18,320","7,250","5,500","7,165","27,925","22,080","34,855","10,240","442,795","1,725,980"
  French only,10,35,20,55,15,10,65,0,10,25,0,35,0,40,10,0,0,10,25,0,40,10,405,"1,220"
  English and French,"1,390","3,675","2,910","4,580","3,215","1,540","2,425","1,520","1,445","7,550","1,520","3,005",780,"1,675","2,005","1,160",940,"1,045","1,430",935,"6,255","2,320","53,230","147,775"
  Neither English nor French,705,"1,130",440,455,"2,430","4,795","6,180",645,"2,190",305,"1,505","1,375","1,220","6,660","1,490",345,235,"2,835","3,890","3,490",765,115,"43,195","92,505"
Total population by first official language spoken,"14,040","27,720","21,215","27,545","28,975","32,810","44,235","13,965","25,465","39,430","21,740","24,395","11,905","44,790","21,820","8,755","6,680","11,060","33,270","26,510","41,910","12,680","539,630","1,967,475"
  English,"13,100","25,470","20,280","25,865","25,755","27,710","37,420","13,070","22,820","37,790","19,855","22,235","10,490","37,585","19,935","8,285","6,200","7,890","28,970","22,790","39,225","12,215","483,700","1,839,880"
  French,125,900,310,915,580,215,505,130,235,"1,110",235,635,80,310,280,90,190,260,180,105,"1,540",280,"9,185","24,795"
  English and French,110,255,185,335,230,165,210,125,275,250,190,175,115,315,130,40,50,95,305,155,395,65,"4,170","12,070"
  Neither English nor French,705,"1,100",440,440,"2,410","4,720","6,095",640,"2,140",275,"1,460","1,350","1,215","6,575","1,480",340,240,"2,815","3,815","3,460",750,115,"42,570","90,730"
Total population by home language,"14,040","27,720","21,210","27,550","28,975","32,805","44,235","13,965","25,470","39,430","21,735","24,395","11,900","44,785","21,820","8,760","6,680","11,060","33,270","26,510","41,910","12,680","539,630","1,967,475"
 Single responses,"10,640","22,535","18,085","23,215","23,490","23,260","30,320","11,275","17,875","34,480","16,030","18,840","8,725","29,675","16,220","6,965","5,195","9,475","21,235","17,875","34,570","11,190","410,025","1,587,670"
  English,"7,865","18,680","15,985","21,120","18,250","13,135","16,295","8,520","11,240","32,910","10,295","14,655","4,615","13,870","11,560","5,620","4,075","4,775","9,860","8,350","30,120","10,290","291,015","1,285,000"
  French,10,100,40,220,100,35,80,0,0,140,50,100,0,25,50,15,35,15,20,10,210,70,"1,340","3,330"
  Non-official languages,"2,770","3,755","2,055","1,875","5,140","10,085","13,945","2,750","6,630","1,425","5,685","4,085","4,110","15,780","4,610","1,330","1,090","4,685","11,355","9,520","4,235",830,"117,670","299,340"
"    Chinese, n.o.s.",670,975,550,445,"1,230","3,145","3,740",860,"1,550",135,"1,420","1,080","1,220","4,640","1,215",570,260,"1,065","1,720","3,090",330,90,"29,980","55,750"
    Cantonese,925,985,670,320,"1,530","4,165","5,400",880,"2,670",145,"1,995",710,"1,230","5,820","1,385",260,475,"2,545","2,290","3,895",215,240,"38,745","73,180"
    Punjabi,0,0,0,0,10,85,645,25,200,10,40,30,50,590,110,0,0,15,"3,980",510,0,0,"6,295","42,970"
    Italian,0,10,0,0,275,655,75,15,55,10,0,0,20,150,20,0,10,15,0,50,15,0,"1,395","2,610"
    Spanish,20,105,25,65,150,55,275,25,190,155,35,65,15,170,115,30,15,70,170,130,205,25,"2,115","5,610"
    Vietnamese,15,0,30,20,830,765,"1,185",0,180,0,30,580,50,"1,140",320,0,0,215,710,510,0,0,"6,570","10,530"
    Portuguese,0,10,0,25,45,80,245,0,25,0,0,10,0,260,35,20,25,10,30,45,25,0,890,"1,530"
    Arabic,0,60,0,0,10,0,30,0,0,0,0,15,65,0,10,0,0,0,35,0,25,0,250,"1,305"
    Mandarin,540,320,400,290,135,535,360,480,500,190,830,205,810,815,465,155,170,345,295,450,250,150,"8,680","26,665"
    Polish,10,20,20,25,110,10,30,15,40,20,10,15,20,65,10,0,15,10,20,10,65,0,515,"2,580"
    German,0,0,0,25,10,20,25,10,10,65,0,10,10,10,0,0,0,0,90,0,45,0,335,"1,265"
    Tamil,0,10,0,0,0,10,90,0,15,10,60,135,0,0,35,0,0,0,145,10,10,10,520,795
    Korean,295,190,60,50,95,0,60,125,340,30,95,80,120,155,25,45,15,0,35,40,540,60,"2,465","14,740"
    Persian (Farsi),0,145,0,60,35,25,30,25,50,85,140,70,25,30,15,0,0,40,10,10,420,10,"1,215","9,165"
    Russian,0,85,0,35,55,10,65,0,20,45,285,65,25,30,25,0,0,35,0,10,185,15,995,"3,165"
    Tagalog (Pilipino),0,30,0,15,135,35,575,15,40,0,165,355,20,410,180,20,0,55,440,265,30,10,"2,805","5,785"
    Greek,10,0,30,25,10,0,25,0,25,140,10,10,15,25,40,0,20,0,0,0,0,10,385,875
    Urdu,0,15,0,0,0,0,10,0,0,0,15,10,0,25,10,10,0,0,90,10,25,0,200,"1,530"
    Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Inuktitut (Eskimo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Ukrainian,0,0,0,0,0,10,15,0,0,0,15,20,0,0,20,0,0,0,0,0,0,0,90,340
    Hindi,0,10,0,0,10,45,270,0,50,0,20,0,0,345,85,0,0,20,285,95,10,0,"1,250","5,585"
    Hungarian,0,20,0,15,25,10,0,0,20,10,0,0,0,0,0,0,0,0,10,30,20,10,185,"1,000"
    Japanese,50,230,65,80,40,70,45,70,55,115,130,25,45,130,45,45,0,10,40,15,765,40,"2,110","4,740"
    Serbo-Croatian,0,45,0,100,0,0,0,0,15,0,25,0,10,0,15,0,0,0,0,0,200,0,390,880
    Creoles,10,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,35,60
    Ojibway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Montagnais-Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Finnish,0,10,0,0,0,0,0,0,10,15,0,15,0,0,0,0,0,0,10,55,0,15,125,400
    Micmac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Hakka,0,0,0,0,45,10,25,0,0,0,0,0,10,20,10,0,0,0,20,20,0,0,165,265
    Dogrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    South Slave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Chipewyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Other languages,215,485,195,270,315,355,710,205,575,250,390,585,365,940,420,160,70,245,925,275,870,155,"8,965","26,005"
 Multiple responses,"3,400","5,190","3,130","4,335","5,485","9,550","13,915","2,690","7,590","4,950","5,705","5,560","3,175","15,115","5,595","1,795","1,485","1,585","12,035","8,635","7,345","1,490","129,605","379,800"
   English and French,135,605,355,580,560,175,350,135,175,955,150,530,90,250,215,140,175,210,185,70,"1,230",285,"7,535","18,955"
   English and non-official language(s),"3,235","4,425","2,685","3,560","4,800","9,235","13,240","2,505","7,360","3,780","5,420","4,860","3,060","14,670","5,275","1,625","1,240","1,350","11,750","8,485","5,930","1,160","119,510","353,615"
   French and non-official language(s),10,40,30,70,10,10,150,0,20,25,40,45,10,40,10,10,0,15,25,40,55,15,665,"1,615"
"   English, French and non-official language(s)",20,120,55,125,115,130,175,50,45,190,85,120,10,155,105,25,70,0,85,40,135,30,"1,890","5,615"
  Various non-official languages spoken - Italian,150,445,190,530,"1,010","2,800",615,150,275,590,135,350,70,"1,190",285,65,75,95,140,260,615,175,"10,205","28,825"
  German,345,985,710,"1,040",885,400,625,340,370,"1,705",410,615,155,360,500,155,120,240,900,295,"2,105",555,"13,735","51,110"
  Spanish,420,"1,410",560,"1,290","1,265","1,055","1,335",330,970,"2,025",510,"1,075",160,"1,055",935,340,315,525,825,635,"2,375",465,"19,855","50,940"
"  Chinese, n.o.s.","1,485","1,870","1,145",925,"2,115","5,545","6,290","1,585","3,245",595,"2,815","1,805","2,185","8,035","2,440","1,170",600,"1,225","3,945","5,185",840,265,"55,265","110,065"
  Cantonese,"2,185","2,250","1,530","1,125","2,675","7,685","10,220","1,965","5,530",760,"3,980","1,420","2,600","10,820","3,130",745,935,"3,385","4,575","7,725",915,615,"76,740","149,445"
  Punjabi,30,120,75,85,95,330,"1,995",105,660,240,225,105,205,"2,190",360,0,0,30,"8,975","1,450",145,15,"17,430","104,280"
  Arabic,10,240,35,190,85,55,215,25,55,125,55,190,115,170,80,10,15,55,170,60,250,0,"2,215","8,610"
  Portuguese,30,130,10,150,435,320,655,20,200,190,45,80,15,875,215,30,40,60,105,190,300,55,"4,150","10,635"
  Polish,25,245,110,245,240,80,155,85,335,270,125,230,85,180,135,80,110,75,115,20,555,55,"3,485","14,525"
  Tagalog (Pilipino),80,275,140,400,810,655,"3,115",150,650,125,965,"2,375",145,"2,625","1,435",185,165,105,"2,365","1,390",625,75,"18,850","47,930"
  Hindi,75,155,95,100,200,420,"1,750",115,560,175,150,200,105,"2,115",485,0,10,55,"3,735",900,190,50,"11,620","54,850"
  Mandarin,"2,050","1,485","1,775","1,040",715,"2,435","2,710","1,605","2,330",760,"2,865",785,"2,490","4,100","1,800",970,510,865,"1,495","2,505",895,630,"36,820","96,090"
  Ukrainian,15,140,25,155,55,85,125,30,185,130,165,195,45,80,130,20,45,100,35,50,310,20,"2,130","8,380"
  Vietnamese,55,140,40,55,"1,435","1,730","3,125",10,360,60,135,"1,305",75,"2,665",690,0,0,680,"1,495","1,115",135,10,"15,310","25,355"
  Greek,340,100,165,135,130,10,155,65,110,960,75,80,25,200,150,95,65,15,55,145,75,195,"3,330","7,150"
  Dutch,60,175,125,180,115,20,65,65,40,325,40,55,35,100,40,40,25,30,40,45,290,125,"2,045","12,625"
  Russian,30,375,100,310,170,105,180,115,165,325,630,340,80,50,145,25,45,90,110,90,730,60,"4,255","13,060"
  Cree,0,65,0,0,75,0,25,0,10,15,0,30,0,0,0,0,0,70,20,0,0,0,310,555
  Hungarian,35,190,120,140,105,80,45,30,60,150,160,105,60,65,115,55,35,35,65,70,235,85,"2,035","7,215"
  Creoles,15,15,0,0,10,0,30,0,10,10,10,15,0,15,0,0,0,15,20,10,0,0,165,595
  Croatian,35,135,20,90,85,210,160,35,145,160,80,70,50,260,85,25,25,35,90,165,250,30,"2,255","7,950"
  Japanese,280,830,380,665,375,370,360,350,400,735,530,295,300,670,285,190,125,70,150,185,"2,000",240,"9,780","24,275"
  Non verbal languages,0,40,35,55,100,40,55,10,20,80,70,50,10,50,10,10,15,20,55,15,135,25,900,"3,410"
  Inuktitut(Eskimo),0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,45
  Ojibway,0,65,0,0,20,0,0,0,0,0,0,10,0,0,10,0,0,20,10,0,0,0,140,270
