STREET_NAME,STREET_NUMBER,YEAR,VALUE
10TH AVE E,1047.0,2015.0,567000.0
10TH AVE E,1049.0,2015.0,885000.0
10TH AVE E,1050.0,2015.0,567000.0
10TH AVE E,1052.0,2015.0,567000.0
10TH AVE E,1060.0,2015.0,885000.0
10TH AVE E,1061.0,2015.0,885000.0
10TH AVE E,1071.0,2015.0,885000.0
10TH AVE E,1074.0,2015.0,885000.0
10TH AVE E,1080.0,2015.0,567000.0
10TH AVE E,1081.0,2015.0,885000.0
10TH AVE E,1082.0,2015.0,567000.0
10TH AVE E,1088.0,2015.0,544000.0
10TH AVE E,1091.0,2015.0,885000.0
10TH AVE E,1103.0,2015.0,885000.0
10TH AVE E,1109.0,2015.0,885000.0
10TH AVE E,1112.0,2015.0,875000.0
10TH AVE E,1117.0,2015.0,885000.0
10TH AVE E,1123.0,2015.0,885000.0
10TH AVE E,1124.0,2015.0,885000.0
10TH AVE E,1128.0,2015.0,556000.0
10TH AVE E,1129.0,2015.0,885000.0
10TH AVE E,1130.0,2015.0,578000.0
10TH AVE E,1136.0,2015.0,885000.0
10TH AVE E,1137.0,2015.0,885000.0
10TH AVE E,1143.0,2015.0,885000.0
10TH AVE E,1144.0,2015.0,875000.0
10TH AVE E,1156.0,2015.0,885000.0
10TH AVE E,1157.0,2015.0,885000.0
10TH AVE E,1161.0,2015.0,885000.0
10TH AVE E,1166.0,2015.0,885000.0
10TH AVE E,1255.0,2015.0,11531500.0
10TH AVE E,1293.0,2015.0,1.0
10TH AVE E,1312.0,2015.0,499000.0
10TH AVE E,1316.0,2015.0,499000.0
10TH AVE E,1324.0,2015.0,819000.0
10TH AVE E,1330.0,2015.0,819000.0
10TH AVE E,1334.0,2015.0,819000.0
10TH AVE E,1342.0,2015.0,819000.0
10TH AVE E,1350.0,2015.0,845000.0
10TH AVE E,1356.0,2015.0,845000.0
10TH AVE E,1362.0,2015.0,845000.0
10TH AVE E,1370.0,2015.0,845000.0
10TH AVE E,1374.0,2015.0,845000.0
10TH AVE E,1380.0,2015.0,845000.0
10TH AVE E,1403.0,2015.0,507000.0
10TH AVE E,1404.0,2015.0,845000.0
10TH AVE E,1405.0,2015.0,507000.0
10TH AVE E,1410.0,2015.0,845000.0
10TH AVE E,1411.0,2015.0,845000.0
10TH AVE E,1416.0,2015.0,845000.0
10TH AVE E,1417.0,2015.0,845000.0
10TH AVE E,1423.0,2015.0,845000.0
10TH AVE E,1424.0,2015.0,845000.0
10TH AVE E,1430.0,2015.0,845000.0
10TH AVE E,1436.0,2015.0,845000.0
10TH AVE E,1437.0,2015.0,845000.0
10TH AVE E,1439.0,2015.0,845000.0
10TH AVE E,1440.0,2015.0,845000.0
10TH AVE E,1441.0,2015.0,845000.0
10TH AVE E,1449.0,2015.0,845000.0
10TH AVE E,1450.0,2015.0,845000.0
10TH AVE E,1455.0,2015.0,845000.0
10TH AVE E,1456.0,2015.0,845000.0
10TH AVE E,1462.0,2015.0,845000.0
10TH AVE E,1463.0,2015.0,845000.0
10TH AVE E,1469.0,2015.0,845000.0
10TH AVE E,1470.0,2015.0,845000.0
10TH AVE E,1472.0,2015.0,682000.0
10TH AVE E,1492.0,2015.0,682000.0
10TH AVE E,1502.0,2015.0,1245000.0
10TH AVE E,1516.0,2015.0,598000.0
10TH AVE E,1523.0,2015.0,872000.0
10TH AVE E,1526.0,2015.0,1098000.0
10TH AVE E,1529.0,2015.0,885000.0
10TH AVE E,1536.0,2015.0,669000.0
10TH AVE E,1537.0,2015.0,872000.0
10TH AVE E,1538.0,2015.0,669000.0
10TH AVE E,1541.0,2015.0,1133000.0
10TH AVE E,1546.0,2015.0,876000.0
10TH AVE E,1551.0,2015.0,872000.0
10TH AVE E,1552.0,2015.0,734000.0
10TH AVE E,1554.0,2015.0,300000.0
10TH AVE E,1556.0,2015.0,876000.0
10TH AVE E,1561.0,2015.0,491000.0
10TH AVE E,1563.0,2015.0,554000.0
10TH AVE E,1564.0,2015.0,1133000.0
10TH AVE E,1565.0,2015.0,845000.0
10TH AVE E,1572.0,2015.0,872000.0
10TH AVE E,1573.0,2015.0,872000.0
10TH AVE E,1580.0,2015.0,741000.0
10TH AVE E,1581.0,2015.0,885000.0
10TH AVE E,1588.0,2015.0,699000.0
10TH AVE E,1603.0,2015.0,872000.0
10TH AVE E,1606.0,2015.0,872000.0
10TH AVE E,1607.0,2015.0,872000.0
10TH AVE E,1610.0,2015.0,846000.0
10TH AVE E,1611.0,2015.0,878000.0
10TH AVE E,1617.0,2015.0,878000.0
10TH AVE E,1618.0,2015.0,758000.0
10TH AVE E,1622.0,2015.0,758000.0
10TH AVE E,1626.0,2015.0,872000.0
10TH AVE E,1627.0,2015.0,784000.0
10TH AVE E,1629.0,2015.0,885000.0
10TH AVE E,1632.0,2015.0,878000.0
10TH AVE E,1633.0,2015.0,514000.0
10TH AVE E,1637.0,2015.0,534000.0
10TH AVE E,1640.0,2015.0,878000.0
10TH AVE E,1644.0,2015.0,758000.0
10TH AVE E,1648.0,2015.0,758000.0
10TH AVE E,1654.0,2015.0,351000.0
10TH AVE E,1655.0,2015.0,863000.0
10TH AVE E,1658.0,2015.0,573000.0
10TH AVE E,1659.0,2015.0,837000.0
10TH AVE E,1668.0,2015.0,720000.0
10TH AVE E,1670.0,2015.0,1608000.0
10TH AVE E,1750.0,2015.0,4418000.0
10TH AVE E,1810.0,2015.0,1014000.0
10TH AVE E,1816.0,2015.0,783000.0
10TH AVE E,1824.0,2015.0,783000.0
10TH AVE E,1842.0,2015.0,5001000.0
10TH AVE E,1865.0,2015.0,4134000.0
10TH AVE E,1883.0,2015.0,113857.142857
10TH AVE E,2003.0,2015.0,548000.0
10TH AVE E,2011.0,2015.0,515000.0
10TH AVE E,2013.0,2015.0,515000.0
10TH AVE E,2015.0,2015.0,515000.0
10TH AVE E,2017.0,2015.0,515000.0
10TH AVE E,2025.0,2015.0,616000.0
10TH AVE E,2029.0,2015.0,641000.0
10TH AVE E,2041.0,2015.0,1044000.0
10TH AVE E,2049.0,2015.0,855000.0
10TH AVE E,2057.0,2015.0,855000.0
10TH AVE E,2060.0,2015.0,929000.0
10TH AVE E,2065.0,2015.0,855000.0
10TH AVE E,2075.0,2015.0,855000.0
10TH AVE E,2085.0,2015.0,855000.0
10TH AVE E,2095.0,2015.0,829000.0
10TH AVE E,2110.0,2015.0,848000.0
10TH AVE E,2118.0,2015.0,848000.0
10TH AVE E,2122.0,2015.0,1095000.0
10TH AVE E,2136.0,2015.0,1095000.0
10TH AVE E,2144.0,2015.0,848000.0
10TH AVE E,2148.0,2015.0,848000.0
10TH AVE E,2156.0,2015.0,848000.0
10TH AVE E,2162.0,2015.0,848000.0
10TH AVE E,2182.0,2015.0,848000.0
10TH AVE E,2192.0,2015.0,848000.0
10TH AVE E,2206.0,2015.0,861000.0
10TH AVE E,2212.0,2015.0,861000.0
10TH AVE E,2218.0,2015.0,844000.0
10TH AVE E,2221.0,2015.0,875000.0
10TH AVE E,2224.0,2015.0,875000.0
10TH AVE E,2225.0,2015.0,875000.0
10TH AVE E,2229.0,2015.0,875000.0
10TH AVE E,2233.0,2015.0,875000.0
10TH AVE E,2234.0,2015.0,875000.0
10TH AVE E,2240.0,2015.0,1129000.0
10TH AVE E,2249.0,2015.0,875000.0
10TH AVE E,2250.0,2015.0,1129000.0
10TH AVE E,2260.0,2015.0,1129000.0
10TH AVE E,2263.0,2015.0,875000.0
10TH AVE E,2270.0,2015.0,1129000.0
10TH AVE E,2273.0,2015.0,875000.0
10TH AVE E,2281.0,2015.0,875000.0
10TH AVE E,2291.0,2015.0,875000.0
10TH AVE E,2294.0,2015.0,875000.0
10TH AVE E,2309.0,2015.0,667000.0
10TH AVE E,2329.0,2015.0,633000.0
10TH AVE E,2349.0,2015.0,634000.0
10TH AVE E,2369.0,2015.0,633000.0
10TH AVE E,2426.0,2015.0,994000.0
10TH AVE E,2433.0,2015.0,122000.0
10TH AVE E,2442.0,2015.0,999000.0
10TH AVE E,2458.0,2015.0,999000.0
10TH AVE E,2472.0,2015.0,999000.0
10TH AVE E,2483.0,2015.0,122000.0
10TH AVE E,2522.0,2015.0,999000.0
10TH AVE E,2523.0,2015.0,116000.0
10TH AVE E,2533.0,2015.0,117000.0
10TH AVE E,2536.0,2015.0,999000.0
10TH AVE E,2550.0,2015.0,999000.0
10TH AVE E,2564.0,2015.0,999000.0
10TH AVE E,2578.0,2015.0,999000.0
10TH AVE E,2583.0,2015.0,115500.0
10TH AVE E,2813.0,2015.0,844000.0
10TH AVE E,2814.0,2015.0,809000.0
10TH AVE E,2819.0,2015.0,844000.0
10TH AVE E,2820.0,2015.0,809000.0
10TH AVE E,2823.0,2015.0,844000.0
10TH AVE E,2828.0,2015.0,809000.0
10TH AVE E,2833.0,2015.0,844000.0
10TH AVE E,2836.0,2015.0,809000.0
10TH AVE E,2838.0,2015.0,809000.0
10TH AVE E,2839.0,2015.0,844000.0
10TH AVE E,2843.0,2015.0,844000.0
10TH AVE E,2848.0,2015.0,809000.0
10TH AVE E,2851.0,2015.0,844000.0
10TH AVE E,2856.0,2015.0,809000.0
10TH AVE E,2857.0,2015.0,844000.0
10TH AVE E,2862.0,2015.0,809000.0
10TH AVE E,2863.0,2015.0,844000.0
10TH AVE E,2869.0,2015.0,844000.0
10TH AVE E,2870.0,2015.0,809000.0
10TH AVE E,2875.0,2015.0,844000.0
10TH AVE E,2878.0,2015.0,809000.0
10TH AVE E,2880.0,2015.0,809000.0
10TH AVE E,2881.0,2015.0,855000.0
10TH AVE E,2884.0,2015.0,817000.0
10TH AVE E,2895.0,2015.0,760000.0
10TH AVE W,11.0,2015.0,9891000.0
10TH AVE W,12.0,2015.0,3266000.0
10TH AVE W,22.0,2015.0,1182000.0
10TH AVE W,28.0,2015.0,1182000.0
10TH AVE W,36.0,2015.0,1182000.0
10TH AVE W,42.0,2015.0,1016000.0
10TH AVE W,46.0,2015.0,1016000.0
10TH AVE W,52.0,2015.0,511000.0
10TH AVE W,54.0,2015.0,323000.0
10TH AVE W,56.0,2015.0,642000.0
10TH AVE W,58.0,2015.0,394000.0
10TH AVE W,60.0,2015.0,1027000.0
10TH AVE W,70.0,2015.0,1027000.0
10TH AVE W,80.0,2015.0,1027000.0
10TH AVE W,110.0,2015.0,4465000.0
10TH AVE W,111.0,2015.0,227476.190476
10TH AVE W,115.0,2015.0,515666.666667
10TH AVE W,117.0,2015.0,841000.0
10TH AVE W,122.0,2015.0,591000.0
10TH AVE W,124.0,2015.0,649000.0
10TH AVE W,125.0,2015.0,4951000.0
10TH AVE W,126.0,2015.0,639000.0
10TH AVE W,130.0,2015.0,493666.666667
10TH AVE W,132.0,2015.0,1175000.0
10TH AVE W,138.0,2015.0,1288000.0
10TH AVE W,140.0,2015.0,4101000.0
10TH AVE W,156.0,2015.0,1481000.0
10TH AVE W,166.0,2015.0,984000.0
10TH AVE W,170.0,2015.0,928000.0
10TH AVE W,175.0,2015.0,4951000.0
10TH AVE W,196.0,2015.0,1403000.0
10TH AVE W,205.0,2015.0,3060000.0
10TH AVE W,225.0,2015.0,1530000.0
10TH AVE W,230.0,2015.0,2906000.0
10TH AVE W,235.0,2015.0,1530000.0
10TH AVE W,324.0,2015.0,4621000.0
10TH AVE W,344.0,2015.0,1540000.0
10TH AVE W,345.0,2015.0,295926.829268
10TH AVE W,356.0,2015.0,1282000.0
10TH AVE W,362.0,2015.0,297000.0
10TH AVE W,366.0,2015.0,601000.0
10TH AVE W,372.0,2015.0,352000.0
10TH AVE W,375.0,2015.0,4276000.0
10TH AVE W,376.0,2015.0,370000.0
10TH AVE W,378.0,2015.0,372000.0
10TH AVE W,380.0,2015.0,470571.428571
10TH AVE W,388.0,2015.0,360000.0
10TH AVE W,398.0,2015.0,380000.0
10TH AVE W,455.0,2015.0,2824666.66667
10TH AVE W,500.0,2015.0,94971.2328767
10TH AVE W,515.0,2015.0,15462000.0
10TH AVE W,525.0,2015.0,3459000.0
10TH AVE W,535.0,2015.0,2940000.0
10TH AVE W,545.0,2015.0,2940000.0
10TH AVE W,565.0,2015.0,14145000.0
10TH AVE W,675.0,2015.0,36720000.0
10TH AVE W,821.0,2015.0,1875000.0
10TH AVE W,835.0,2015.0,172310.344828
10TH AVE W,855.0,2015.0,2178000.0
10TH AVE W,865.0,2015.0,2178000.0
10TH AVE W,895.0,2015.0,7968000.0
10TH AVE W,910.0,2015.0,92485000.0
10TH AVE W,925.0,2015.0,222840.909091
10TH AVE W,935.0,2015.0,2125000.0
10TH AVE W,955.0,2015.0,4250000.0
10TH AVE W,969.0,2015.0,303363.636364
10TH AVE W,975.0,2015.0,2125000.0
10TH AVE W,985.0,2015.0,223750.0
10TH AVE W,1002.0,2015.0,6960000.0
10TH AVE W,1009.0,2015.0,4218000.0
10TH AVE W,1031.0,2015.0,1875000.0
10TH AVE W,1035.0,2015.0,1781000.0
10TH AVE W,1045.0,2015.0,1875000.0
10TH AVE W,1050.0,2015.0,7734000.0
10TH AVE W,1055.0,2015.0,1875000.0
10TH AVE W,1065.0,2015.0,1875000.0
10TH AVE W,1070.0,2015.0,4687000.0
10TH AVE W,1075.0,2015.0,1875000.0
10TH AVE W,1086.0,2015.0,1875000.0
10TH AVE W,1096.0,2015.0,1258000.0
10TH AVE W,1110.0,2015.0,4687000.0
10TH AVE W,1115.0,2015.0,366833.333333
10TH AVE W,1125.0,2015.0,4687000.0
10TH AVE W,1136.0,2015.0,7734000.0
10TH AVE W,1137.0,2015.0,1875000.0
10TH AVE W,1155.0,2015.0,317833.333333
10TH AVE W,1160.0,2015.0,4687000.0
10TH AVE W,1165.0,2015.0,4453000.0
10TH AVE W,1187.0,2015.0,313000.0
10TH AVE W,1189.0,2015.0,313000.0
10TH AVE W,1190.0,2015.0,7734000.0
10TH AVE W,1191.0,2015.0,219000.0
10TH AVE W,1193.0,2015.0,219000.0
10TH AVE W,1195.0,2015.0,334000.0
10TH AVE W,1197.0,2015.0,412000.0
10TH AVE W,1200.0,2015.0,346555.555556
10TH AVE W,1205.0,2015.0,2175000.0
10TH AVE W,1215.0,2015.0,1414000.0
10TH AVE W,1216.0,2015.0,1875000.0
10TH AVE W,1225.0,2015.0,1875000.0
10TH AVE W,1235.0,2015.0,307444.444444
10TH AVE W,1240.0,2015.0,7159000.0
10TH AVE W,1245.0,2015.0,1875000.0
10TH AVE W,1255.0,2015.0,1875000.0
10TH AVE W,1260.0,2015.0,358565.217391
10TH AVE W,1265.0,2015.0,1875000.0
10TH AVE W,1275.0,2015.0,1875000.0
10TH AVE W,1283.0,2015.0,657000.0
10TH AVE W,1285.0,2015.0,631000.0
10TH AVE W,1298.0,2015.0,4687000.0
10TH AVE W,1310.0,2015.0,4687000.0
10TH AVE W,1325.0,2015.0,1875000.0
10TH AVE W,1326.0,2015.0,1875000.0
10TH AVE W,1337.0,2015.0,342555.555556
10TH AVE W,1338.0,2015.0,1875000.0
10TH AVE W,1349.0,2015.0,1309000.0
10TH AVE W,1352.0,2015.0,313666.666667
10TH AVE W,1357.0,2015.0,3631000.0
10TH AVE W,1364.0,2015.0,1875000.0
10TH AVE W,1374.0,2015.0,1875000.0
10TH AVE W,1375.0,2015.0,320000.0
10TH AVE W,1384.0,2015.0,1875000.0
10TH AVE W,1425.0,2015.0,1875000.0
10TH AVE W,1432.0,2015.0,6250000.0
10TH AVE W,1435.0,2015.0,1875000.0
10TH AVE W,1445.0,2015.0,1875000.0
10TH AVE W,1455.0,2015.0,3746000.0
10TH AVE W,1476.0,2015.0,272566.666667
10TH AVE W,1540.0,2015.0,4506000.0
10TH AVE W,1550.0,2015.0,4687000.0
10TH AVE W,1575.0,2015.0,301305.882353
10TH AVE W,1590.0,2015.0,1875000.0
10TH AVE W,1596.0,2015.0,1875000.0
10TH AVE W,1606.0,2015.0,349000.0
10TH AVE W,1616.0,2015.0,1875000.0
10TH AVE W,1626.0,2015.0,1875000.0
10TH AVE W,1633.0,2015.0,486000.0
10TH AVE W,1636.0,2015.0,1875000.0
10TH AVE W,1646.0,2015.0,1875000.0
10TH AVE W,1652.0,2015.0,661000.0
10TH AVE W,1654.0,2015.0,653000.0
10TH AVE W,1656.0,2015.0,657000.0
10TH AVE W,1658.0,2015.0,664000.0
10TH AVE W,1666.0,2015.0,1875000.0
10TH AVE W,1675.0,2015.0,330541.666667
10TH AVE W,1676.0,2015.0,1875000.0
10TH AVE W,1695.0,2015.0,4687000.0
10TH AVE W,1696.0,2015.0,349066.666667
10TH AVE W,1705.0,2015.0,237904.761905
10TH AVE W,1736.0,2015.0,598545.454545
10TH AVE W,1741.0,2015.0,13281000.0
10TH AVE W,1750.0,2015.0,312416.666667
10TH AVE W,1775.0,2015.0,214523.809524
10TH AVE W,1790.0,2015.0,223388.888889
10TH AVE W,1806.0,2015.0,1701000.0
10TH AVE W,1807.0,2015.0,3533000.0
10TH AVE W,1812.0,2015.0,2001000.0
10TH AVE W,1820.0,2015.0,2001000.0
10TH AVE W,1822.0,2015.0,2001000.0
10TH AVE W,1840.0,2015.0,552000.0
10TH AVE W,1842.0,2015.0,764000.0
10TH AVE W,1844.0,2015.0,764000.0
10TH AVE W,1845.0,2015.0,643000.0
10TH AVE W,1846.0,2015.0,577000.0
10TH AVE W,1852.0,2015.0,504000.0
10TH AVE W,1854.0,2015.0,733000.0
10TH AVE W,1855.0,2015.0,542000.0
10TH AVE W,1856.0,2015.0,732000.0
10TH AVE W,1858.0,2015.0,494000.0
10TH AVE W,1865.0,2015.0,608750.0
10TH AVE W,1872.0,2015.0,1.0
10TH AVE W,1873.0,2015.0,1801000.0
10TH AVE W,1874.0,2015.0,2001000.0
10TH AVE W,1881.0,2015.0,561000.0
10TH AVE W,1883.0,2015.0,755000.0
10TH AVE W,1885.0,2015.0,607000.0
10TH AVE W,1895.0,2015.0,1801000.0
10TH AVE W,1896.0,2015.0,1806000.0
10TH AVE W,1915.0,2015.0,1801000.0
10TH AVE W,1925.0,2015.0,1801000.0
10TH AVE W,1935.0,2015.0,1801000.0
10TH AVE W,1936.0,2015.0,21606000.0
10TH AVE W,1949.0,2015.0,1701000.0
10TH AVE W,1955.0,2015.0,682000.0
10TH AVE W,1957.0,2015.0,357000.0
10TH AVE W,1961.0,2015.0,668000.0
10TH AVE W,1965.0,2015.0,664000.0
10TH AVE W,1967.0,2015.0,521000.0
10TH AVE W,1969.0,2015.0,298000.0
10TH AVE W,1971.0,2015.0,668000.0
10TH AVE W,1973.0,2015.0,636000.0
10TH AVE W,1975.0,2015.0,1801000.0
10TH AVE W,1981.0,2015.0,4984000.0
10TH AVE W,2006.0,2015.0,8898000.0
10TH AVE W,2036.0,2015.0,195478.26087
10TH AVE W,2040.0,2015.0,2897000.0
10TH AVE W,2060.0,2015.0,4168000.0
10TH AVE W,2120.0,2015.0,5932000.0
10TH AVE W,2125.0,2015.0,3304000.0
10TH AVE W,2130.0,2015.0,3304000.0
10TH AVE W,2137.0,2015.0,258200.0
10TH AVE W,2181.0,2015.0,322000.0
10TH AVE W,2212.0,2015.0,6674500.0
10TH AVE W,2250.0,2015.0,15703000.0
10TH AVE W,2255.0,2015.0,21885000.0
10TH AVE W,2267.0,2015.0,1652000.0
10TH AVE W,2275.0,2015.0,1652000.0
10TH AVE W,2277.0,2015.0,1652000.0
10TH AVE W,2285.0,2015.0,1566000.0
10TH AVE W,2294.0,2015.0,7469000.0
10TH AVE W,2305.0,2015.0,376125.0
10TH AVE W,2315.0,2015.0,445800.0
10TH AVE W,2325.0,2015.0,1069000.0
10TH AVE W,2327.0,2015.0,1158000.0
10TH AVE W,2333.0,2015.0,528000.0
10TH AVE W,2335.0,2015.0,867000.0
10TH AVE W,2337.0,2015.0,931000.0
10TH AVE W,2339.0,2015.0,536000.0
10TH AVE W,2345.0,2015.0,1114000.0
10TH AVE W,2347.0,2015.0,1114000.0
10TH AVE W,2349.0,2015.0,1114000.0
10TH AVE W,2351.0,2015.0,1114000.0
10TH AVE W,2355.0,2015.0,1743000.0
10TH AVE W,2375.0,2015.0,1652000.0
10TH AVE W,2385.0,2015.0,1560000.0
10TH AVE W,2391.0,2015.0,996000.0
10TH AVE W,2397.0,2015.0,996000.0
10TH AVE W,2405.0,2015.0,1743000.0
