,YEAR,Theft from Vehicle,Other Theft,Mischief,Theft of Vehicle,BNE Residential/Other,BNE Commercial
148248,2006,0,1,0,0,0,0
148249,2006,0,1,0,0,0,0
148250,2006,0,0,0,1,0,0
148251,2006,0,1,0,0,0,0
148252,2006,0,1,0,0,0,0
148253,2006,0,0,1,0,0,0
148254,2006,1,0,0,0,0,0
148255,2006,0,0,1,0,0,0
148256,2006,0,0,1,0,0,0
148257,2006,0,0,1,0,0,0
148258,2006,0,0,1,0,0,0
148259,2006,1,0,0,0,0,0
148260,2006,0,0,1,0,0,0
148261,2006,0,0,1,0,0,0
148262,2006,0,0,1,0,0,0
148263,2006,0,1,0,0,0,0
148264,2006,0,1,0,0,0,0
148265,2006,0,0,1,0,0,0
148266,2006,0,0,1,0,0,0
148267,2006,0,1,0,0,0,0
148268,2006,0,1,0,0,0,0
148269,2006,0,1,0,0,0,0
148270,2006,0,1,0,0,0,0
148271,2006,0,1,0,0,0,0
148272,2006,0,1,0,0,0,0
148273,2006,0,0,1,0,0,0
148274,2006,0,0,1,0,0,0
148275,2006,0,0,1,0,0,0
148276,2006,0,0,1,0,0,0
148277,2006,0,0,1,0,0,0
148278,2006,0,1,0,0,0,0
148279,2006,0,1,0,0,0,0
148280,2006,0,1,0,0,0,0
148281,2006,0,0,1,0,0,0
148282,2006,0,0,0,1,0,0
148283,2006,0,0,1,0,0,0
148284,2006,0,0,1,0,0,0
148285,2006,0,1,0,0,0,0
148286,2006,0,0,1,0,0,0
148287,2006,0,1,0,0,0,0
148288,2006,0,1,0,0,0,0
148289,2006,0,0,1,0,0,0
148290,2006,0,0,1,0,0,0
148291,2006,0,0,1,0,0,0
148292,2006,0,1,0,0,0,0
148293,2006,0,1,0,0,0,0
148294,2006,0,1,0,0,0,0
148295,2006,0,0,1,0,0,0
148296,2006,0,0,1,0,0,0
148297,2006,0,0,1,0,0,0
148298,2006,0,1,0,0,0,0
148299,2006,0,1,0,0,0,0
148300,2006,0,1,0,0,0,0
148301,2006,0,1,0,0,0,0
148302,2006,0,1,0,0,0,0
148303,2006,0,0,1,0,0,0
148304,2006,0,1,0,0,0,0
148305,2006,0,0,1,0,0,0
148306,2006,0,1,0,0,0,0
148307,2006,0,0,1,0,0,0
148308,2006,0,0,0,1,0,0
148309,2006,0,1,0,0,0,0
148310,2006,0,1,0,0,0,0
148311,2006,0,1,0,0,0,0
148312,2006,0,0,1,0,0,0
148313,2006,0,0,1,0,0,0
148314,2006,0,1,0,0,0,0
148315,2006,0,0,1,0,0,0
148316,2006,0,1,0,0,0,0
148317,2006,0,0,1,0,0,0
148318,2006,0,0,1,0,0,0
148319,2006,0,0,1,0,0,0
148320,2006,0,1,0,0,0,0
148321,2006,1,0,0,0,0,0
148322,2006,1,0,0,0,0,0
148323,2006,1,0,0,0,0,0
148324,2006,1,0,0,0,0,0
148325,2006,1,0,0,0,0,0
148326,2006,1,0,0,0,0,0
148327,2006,1,0,0,0,0,0
148328,2006,1,0,0,0,0,0
148329,2006,1,0,0,0,0,0
148330,2006,1,0,0,0,0,0
148331,2006,1,0,0,0,0,0
148332,2006,1,0,0,0,0,0
148333,2006,1,0,0,0,0,0
148334,2006,1,0,0,0,0,0
148335,2006,1,0,0,0,0,0
148336,2006,1,0,0,0,0,0
148337,2006,1,0,0,0,0,0
148338,2006,1,0,0,0,0,0
148339,2006,1,0,0,0,0,0
148340,2006,1,0,0,0,0,0
148341,2006,1,0,0,0,0,0
148342,2006,1,0,0,0,0,0
148343,2006,1,0,0,0,0,0
148344,2006,1,0,0,0,0,0
148345,2006,1,0,0,0,0,0
148346,2006,1,0,0,0,0,0
148347,2006,1,0,0,0,0,0
148348,2006,1,0,0,0,0,0
148349,2006,1,0,0,0,0,0
148350,2006,1,0,0,0,0,0
148351,2006,0,0,0,1,0,0
148352,2006,1,0,0,0,0,0
148353,2006,0,1,0,0,0,0
148354,2006,0,0,1,0,0,0
148355,2006,0,1,0,0,0,0
148356,2006,0,1,0,0,0,0
148357,2006,1,0,0,0,0,0
148358,2006,0,0,1,0,0,0
148359,2006,0,1,0,0,0,0
148360,2006,0,0,0,1,0,0
148361,2006,0,0,1,0,0,0
148362,2006,0,1,0,0,0,0
148363,2006,0,1,0,0,0,0
148364,2006,0,0,0,1,0,0
148365,2006,0,1,0,0,0,0
148366,2006,0,1,0,0,0,0
148367,2006,0,1,0,0,0,0
148368,2006,0,0,1,0,0,0
148369,2006,0,0,1,0,0,0
148370,2006,0,0,1,0,0,0
148371,2006,0,0,1,0,0,0
148372,2006,0,0,1,0,0,0
148373,2006,0,1,0,0,0,0
148374,2006,0,1,0,0,0,0
148375,2006,0,0,1,0,0,0
148376,2006,0,0,0,1,0,0
148377,2006,0,1,0,0,0,0
148378,2006,0,0,0,1,0,0
148379,2006,0,1,0,0,0,0
148380,2006,0,0,0,1,0,0
148381,2006,0,0,1,0,0,0
148382,2006,0,0,0,1,0,0
148383,2006,0,0,0,1,0,0
148384,2006,0,1,0,0,0,0
148385,2006,0,0,1,0,0,0
148386,2006,0,1,0,0,0,0
148387,2006,0,1,0,0,0,0
148388,2006,0,1,0,0,0,0
148389,2006,0,1,0,0,0,0
148390,2006,0,1,0,0,0,0
148391,2006,0,1,0,0,0,0
148392,2006,0,1,0,0,0,0
148393,2006,0,1,0,0,0,0
148394,2006,0,1,0,0,0,0
148395,2006,0,1,0,0,0,0
148396,2006,0,1,0,0,0,0
148397,2006,0,1,0,0,0,0
148398,2006,1,0,0,0,0,0
148399,2006,0,1,0,0,0,0
148400,2006,0,0,0,1,0,0
148401,2006,0,1,0,0,0,0
148402,2006,0,1,0,0,0,0
148403,2006,0,1,0,0,0,0
148404,2006,0,1,0,0,0,0
148405,2006,0,1,0,0,0,0
148406,2006,0,0,0,1,0,0
148407,2006,0,0,1,0,0,0
148408,2006,0,0,1,0,0,0
148409,2006,0,0,1,0,0,0
148410,2006,0,0,1,0,0,0
148411,2006,0,1,0,0,0,0
148412,2006,0,1,0,0,0,0
148413,2006,0,0,1,0,0,0
148414,2006,0,0,1,0,0,0
148415,2006,0,0,1,0,0,0
148416,2006,0,0,1,0,0,0
148417,2006,0,1,0,0,0,0
148418,2006,0,1,0,0,0,0
148419,2006,0,0,1,0,0,0
148420,2006,0,1,0,0,0,0
148421,2006,0,1,0,0,0,0
148422,2006,0,1,0,0,0,0
148423,2006,0,1,0,0,0,0
148424,2006,0,1,0,0,0,0
148425,2006,0,1,0,0,0,0
148426,2006,0,1,0,0,0,0
148427,2006,0,1,0,0,0,0
148428,2006,0,0,1,0,0,0
148429,2006,0,0,1,0,0,0
148430,2006,0,1,0,0,0,0
148431,2006,0,1,0,0,0,0
148432,2006,0,0,1,0,0,0
148433,2006,0,0,1,0,0,0
148434,2006,0,1,0,0,0,0
148435,2006,0,0,1,0,0,0
148436,2006,0,0,1,0,0,0
148437,2006,0,0,1,0,0,0
148438,2006,0,0,1,0,0,0
148439,2006,0,1,0,0,0,0
148440,2006,0,1,0,0,0,0
148441,2006,0,1,0,0,0,0
148442,2006,0,1,0,0,0,0
148443,2006,0,0,1,0,0,0
148444,2006,0,0,1,0,0,0
148445,2006,0,0,1,0,0,0
148446,2006,0,0,1,0,0,0
148447,2006,0,0,1,0,0,0
148448,2006,0,1,0,0,0,0
148449,2006,0,0,1,0,0,0
148450,2006,0,0,1,0,0,0
148451,2006,0,1,0,0,0,0
148452,2006,0,1,0,0,0,0
148453,2006,0,0,1,0,0,0
148454,2006,0,1,0,0,0,0
148455,2006,0,0,0,1,0,0
148456,2006,0,0,1,0,0,0
148457,2006,0,0,1,0,0,0
148458,2006,0,0,1,0,0,0
148459,2006,0,0,1,0,0,0
148460,2006,0,0,1,0,0,0
148461,2006,0,0,1,0,0,0
148462,2006,0,0,1,0,0,0
148463,2006,1,0,0,0,0,0
148464,2006,1,0,0,0,0,0
148465,2006,1,0,0,0,0,0
148466,2006,1,0,0,0,0,0
148467,2006,1,0,0,0,0,0
148468,2006,1,0,0,0,0,0
148469,2006,1,0,0,0,0,0
148470,2006,1,0,0,0,0,0
148471,2006,1,0,0,0,0,0
148472,2006,1,0,0,0,0,0
148473,2006,1,0,0,0,0,0
148474,2006,1,0,0,0,0,0
148475,2006,1,0,0,0,0,0
148476,2006,1,0,0,0,0,0
148477,2006,1,0,0,0,0,0
148478,2006,0,1,0,0,0,0
148479,2006,0,0,1,0,0,0
148480,2006,0,0,1,0,0,0
148481,2006,0,1,0,0,0,0
148482,2006,0,1,0,0,0,0
148483,2006,0,1,0,0,0,0
148484,2006,0,1,0,0,0,0
148485,2006,0,1,0,0,0,0
148486,2006,0,0,1,0,0,0
148487,2006,0,0,0,1,0,0
148488,2006,0,0,0,1,0,0
148489,2006,0,0,1,0,0,0
148490,2006,0,1,0,0,0,0
148491,2006,0,0,0,1,0,0
148492,2006,0,1,0,0,0,0
148493,2006,0,0,0,1,0,0
148494,2006,0,1,0,0,0,0
148495,2006,0,0,1,0,0,0
148496,2006,0,1,0,0,0,0
148497,2006,0,0,1,0,0,0
148498,2006,0,1,0,0,0,0
148499,2006,0,0,1,0,0,0
148500,2006,0,0,1,0,0,0
148501,2006,0,0,1,0,0,0
148502,2006,1,0,0,0,0,0
148503,2006,1,0,0,0,0,0
148504,2006,1,0,0,0,0,0
148505,2006,1,0,0,0,0,0
148506,2006,1,0,0,0,0,0
148507,2006,1,0,0,0,0,0
148508,2006,1,0,0,0,0,0
148509,2006,0,0,1,0,0,0
148510,2006,1,0,0,0,0,0
148511,2006,1,0,0,0,0,0
148512,2006,1,0,0,0,0,0
148513,2006,1,0,0,0,0,0
148514,2006,0,0,0,1,0,0
148515,2006,0,0,1,0,0,0
148516,2006,1,0,0,0,0,0
148517,2006,0,0,0,1,0,0
148518,2006,0,1,0,0,0,0
148519,2006,1,0,0,0,0,0
148520,2006,0,0,0,1,0,0
148521,2006,0,1,0,0,0,0
148522,2006,0,0,1,0,0,0
148523,2006,1,0,0,0,0,0
148524,2006,0,0,1,0,0,0
148525,2006,0,1,0,0,0,0
148526,2006,0,1,0,0,0,0
148527,2006,0,1,0,0,0,0
148528,2006,0,1,0,0,0,0
148529,2006,0,1,0,0,0,0
148530,2006,0,1,0,0,0,0
148531,2006,0,0,0,1,0,0
148532,2006,0,0,0,1,0,0
148533,2006,1,0,0,0,0,0
148534,2006,0,0,1,0,0,0
148535,2006,0,0,1,0,0,0
148536,2006,0,0,0,1,0,0
148537,2006,0,0,1,0,0,0
148538,2006,0,1,0,0,0,0
148539,2006,0,1,0,0,0,0
148540,2006,0,1,0,0,0,0
148541,2006,0,0,1,0,0,0
148542,2006,0,1,0,0,0,0
148543,2006,0,0,1,0,0,0
148544,2006,0,1,0,0,0,0
148545,2006,0,0,0,1,0,0
148546,2006,0,1,0,0,0,0
148547,2006,0,1,0,0,0,0
148548,2006,0,0,0,1,0,0
148549,2006,0,1,0,0,0,0
148550,2006,0,0,1,0,0,0
148551,2006,0,1,0,0,0,0
148552,2006,1,0,0,0,0,0
148553,2006,0,0,0,1,0,0
148554,2006,0,1,0,0,0,0
148555,2006,0,0,1,0,0,0
148556,2006,0,0,1,0,0,0
148557,2006,0,0,1,0,0,0
148558,2006,0,0,1,0,0,0
148559,2006,0,0,0,1,0,0
148560,2006,0,0,1,0,0,0
148561,2006,0,0,1,0,0,0
148562,2006,0,0,0,1,0,0
148563,2006,0,1,0,0,0,0
148564,2006,0,1,0,0,0,0
148565,2006,0,0,1,0,0,0
148566,2006,0,1,0,0,0,0
148567,2006,0,0,1,0,0,0
148568,2006,0,0,1,0,0,0
148569,2006,0,0,1,0,0,0
148570,2006,0,1,0,0,0,0
148571,2006,0,1,0,0,0,0
148572,2006,0,0,1,0,0,0
148573,2006,0,1,0,0,0,0
148574,2006,0,1,0,0,0,0
148575,2006,0,0,1,0,0,0
148576,2006,0,0,1,0,0,0
148577,2006,1,0,0,0,0,0
148578,2006,0,0,1,0,0,0
148579,2006,0,0,1,0,0,0
148580,2006,0,1,0,0,0,0
148581,2006,0,0,1,0,0,0
148582,2006,0,1,0,0,0,0
148583,2006,0,0,1,0,0,0
148584,2006,0,0,0,1,0,0
148585,2006,0,0,1,0,0,0
148586,2006,0,0,1,0,0,0
148587,2006,0,0,0,1,0,0
148588,2006,0,0,1,0,0,0
148589,2006,0,0,0,1,0,0
148590,2006,0,0,1,0,0,0
148591,2006,0,0,1,0,0,0
148592,2006,0,0,0,1,0,0
148593,2006,0,0,1,0,0,0
148594,2006,0,0,1,0,0,0
148595,2006,0,0,1,0,0,0
148596,2006,0,0,1,0,0,0
148597,2006,0,0,1,0,0,0
148598,2006,0,0,1,0,0,0
148599,2006,0,0,1,0,0,0
148600,2006,0,0,1,0,0,0
148601,2006,0,1,0,0,0,0
148602,2006,1,0,0,0,0,0
148603,2006,0,0,1,0,0,0
148604,2006,0,0,1,0,0,0
148605,2006,1,0,0,0,0,0
148606,2006,0,1,0,0,0,0
148607,2006,0,1,0,0,0,0
148608,2006,0,1,0,0,0,0
148609,2006,0,1,0,0,0,0
148610,2006,1,0,0,0,0,0
148611,2006,0,1,0,0,0,0
148612,2006,0,1,0,0,0,0
148613,2006,0,1,0,0,0,0
148614,2006,0,1,0,0,0,0
148615,2006,0,0,1,0,0,0
148616,2006,0,0,1,0,0,0
148617,2006,0,1,0,0,0,0
148618,2006,0,1,0,0,0,0
148619,2006,0,1,0,0,0,0
148620,2006,0,0,1,0,0,0
148621,2006,0,1,0,0,0,0
148622,2006,0,0,1,0,0,0
148623,2006,0,0,1,0,0,0
148624,2006,0,0,1,0,0,0
148625,2006,1,0,0,0,0,0
148626,2006,1,0,0,0,0,0
148627,2006,1,0,0,0,0,0
148628,2006,1,0,0,0,0,0
148629,2006,1,0,0,0,0,0
148630,2006,1,0,0,0,0,0
148631,2006,0,0,1,0,0,0
148632,2006,0,0,1,0,0,0
148633,2006,0,0,1,0,0,0
148634,2006,1,0,0,0,0,0
148635,2006,1,0,0,0,0,0
148636,2006,0,0,1,0,0,0
148637,2006,0,0,1,0,0,0
148638,2006,0,0,1,0,0,0
148639,2006,0,0,1,0,0,0
148640,2006,0,0,1,0,0,0
148641,2006,0,0,1,0,0,0
148642,2006,0,0,0,1,0,0
148643,2006,0,0,1,0,0,0
148644,2006,0,0,1,0,0,0
148645,2006,0,0,1,0,0,0
148646,2006,0,1,0,0,0,0
148647,2006,0,1,0,0,0,0
148648,2006,0,1,0,0,0,0
148649,2006,0,1,0,0,0,0
148650,2006,0,1,0,0,0,0
148651,2006,0,1,0,0,0,0
148652,2006,0,1,0,0,0,0
148653,2006,0,1,0,0,0,0
148654,2006,0,1,0,0,0,0
148655,2006,0,1,0,0,0,0
148656,2006,0,1,0,0,0,0
148657,2006,0,1,0,0,0,0
148658,2006,0,0,1,0,0,0
148659,2006,0,0,1,0,0,0
148660,2006,0,1,0,0,0,0
148661,2006,0,0,1,0,0,0
148662,2006,0,0,1,0,0,0
148663,2006,0,0,1,0,0,0
148664,2006,1,0,0,0,0,0
148665,2006,1,0,0,0,0,0
148666,2006,1,0,0,0,0,0
148667,2006,0,0,1,0,0,0
148668,2006,0,0,1,0,0,0
148669,2006,0,0,1,0,0,0
148670,2006,0,0,1,0,0,0
148671,2006,0,0,1,0,0,0
148672,2006,0,0,1,0,0,0
148673,2006,0,0,0,1,0,0
148674,2006,0,0,1,0,0,0
148675,2006,0,0,0,1,0,0
148676,2006,0,0,1,0,0,0
148677,2006,0,0,1,0,0,0
148678,2006,0,0,1,0,0,0
148679,2006,0,0,1,0,0,0
148680,2006,0,0,1,0,0,0
148681,2006,0,0,0,1,0,0
148682,2006,0,0,1,0,0,0
148683,2006,0,0,1,0,0,0
148684,2006,0,0,1,0,0,0
148685,2006,0,0,1,0,0,0
148686,2006,0,0,0,1,0,0
148687,2006,0,0,1,0,0,0
148688,2006,0,0,1,0,0,0
148689,2006,0,0,1,0,0,0
148690,2006,0,0,1,0,0,0
148691,2006,0,0,1,0,0,0
148692,2006,0,0,1,0,0,0
148693,2006,0,0,1,0,0,0
148694,2006,1,0,0,0,0,0
148695,2006,0,0,1,0,0,0
148696,2006,0,0,1,0,0,0
148697,2006,0,0,1,0,0,0
148698,2006,0,0,1,0,0,0
148699,2006,0,0,1,0,0,0
148700,2006,0,0,1,0,0,0
148701,2006,0,0,1,0,0,0
148702,2006,1,0,0,0,0,0
148703,2006,0,0,1,0,0,0
148704,2006,0,0,1,0,0,0
148705,2006,0,0,1,0,0,0
148706,2006,0,0,1,0,0,0
148707,2006,0,0,1,0,0,0
148708,2006,0,0,1,0,0,0
148709,2006,0,0,1,0,0,0
148710,2006,0,0,1,0,0,0
148711,2006,0,0,1,0,0,0
148712,2006,0,0,1,0,0,0
148713,2006,0,0,1,0,0,0
148714,2006,1,0,0,0,0,0
148715,2006,1,0,0,0,0,0
148716,2006,0,0,1,0,0,0
148717,2006,0,0,1,0,0,0
148718,2006,0,0,1,0,0,0
148719,2006,0,0,1,0,0,0
148720,2006,0,0,1,0,0,0
148721,2006,0,0,1,0,0,0
148722,2006,0,0,1,0,0,0
148723,2006,0,0,1,0,0,0
148724,2006,0,0,1,0,0,0
148725,2006,0,0,1,0,0,0
148726,2006,0,0,1,0,0,0
148727,2006,0,0,1,0,0,0
148728,2006,0,0,1,0,0,0
148729,2006,0,0,1,0,0,0
148730,2006,0,0,1,0,0,0
148731,2006,0,0,1,0,0,0
148732,2006,0,0,1,0,0,0
148733,2006,0,0,1,0,0,0
148734,2006,1,0,0,0,0,0
148735,2006,0,0,1,0,0,0
148736,2006,0,0,1,0,0,0
148737,2006,0,0,1,0,0,0
148738,2006,0,0,1,0,0,0
148739,2006,0,0,1,0,0,0
148740,2006,0,0,1,0,0,0
148741,2006,0,0,1,0,0,0
148742,2006,0,0,1,0,0,0
148743,2006,0,0,1,0,0,0
148744,2006,0,0,1,0,0,0
148745,2006,0,0,1,0,0,0
148746,2006,0,0,1,0,0,0
148747,2006,0,0,1,0,0,0
148748,2006,0,0,1,0,0,0
148749,2006,0,0,1,0,0,0
148750,2006,0,0,1,0,0,0
148751,2006,0,0,1,0,0,0
148752,2006,0,0,1,0,0,0
148753,2006,1,0,0,0,0,0
148754,2006,0,0,1,0,0,0
148755,2006,0,0,1,0,0,0
148756,2006,0,0,1,0,0,0
148757,2006,0,0,1,0,0,0
148758,2006,0,0,1,0,0,0
148759,2006,1,0,0,0,0,0
148760,2006,1,0,0,0,0,0
148761,2006,1,0,0,0,0,0
148762,2006,1,0,0,0,0,0
148763,2006,1,0,0,0,0,0
148764,2006,1,0,0,0,0,0
148765,2006,1,0,0,0,0,0
148766,2006,0,0,1,0,0,0
148767,2006,0,0,1,0,0,0
148768,2006,0,0,1,0,0,0
148769,2006,0,0,1,0,0,0
148770,2006,0,0,1,0,0,0
148771,2006,0,0,1,0,0,0
148772,2006,0,0,1,0,0,0
148773,2006,0,0,1,0,0,0
148774,2006,0,0,1,0,0,0
148775,2006,0,0,1,0,0,0
148776,2006,0,0,1,0,0,0
148777,2006,0,0,1,0,0,0
148778,2006,0,0,1,0,0,0
148779,2006,0,0,1,0,0,0
148780,2006,0,0,1,0,0,0
148781,2006,0,0,1,0,0,0
148782,2006,0,0,1,0,0,0
148783,2006,0,0,1,0,0,0
148784,2006,0,0,1,0,0,0
148785,2006,0,0,1,0,0,0
148786,2006,0,0,1,0,0,0
148787,2006,0,1,0,0,0,0
148788,2006,0,0,1,0,0,0
148789,2006,0,0,1,0,0,0
148790,2006,0,1,0,0,0,0
148791,2006,0,0,1,0,0,0
148792,2006,0,1,0,0,0,0
148793,2006,1,0,0,0,0,0
148794,2006,1,0,0,0,0,0
148795,2006,1,0,0,0,0,0
148796,2006,1,0,0,0,0,0
148797,2006,1,0,0,0,0,0
148798,2006,1,0,0,0,0,0
148799,2006,1,0,0,0,0,0
148800,2006,1,0,0,0,0,0
148801,2006,1,0,0,0,0,0
148802,2006,1,0,0,0,0,0
148803,2006,1,0,0,0,0,0
148804,2006,1,0,0,0,0,0
148805,2006,1,0,0,0,0,0
148806,2006,1,0,0,0,0,0
148807,2006,1,0,0,0,0,0
148808,2006,0,1,0,0,0,0
148809,2006,0,1,0,0,0,0
148810,2006,0,1,0,0,0,0
148811,2006,0,1,0,0,0,0
148812,2006,0,0,0,1,0,0
148813,2006,0,0,1,0,0,0
148814,2006,0,0,1,0,0,0
148815,2006,0,0,1,0,0,0
148816,2006,0,0,0,1,0,0
148817,2006,0,0,1,0,0,0
148818,2006,0,0,1,0,0,0
148819,2006,0,0,1,0,0,0
148820,2006,0,1,0,0,0,0
148821,2006,0,1,0,0,0,0
148822,2006,0,1,0,0,0,0
148823,2006,0,0,0,1,0,0
148824,2006,0,1,0,0,0,0
148825,2006,0,1,0,0,0,0
148826,2006,0,1,0,0,0,0
148827,2006,0,1,0,0,0,0
148828,2006,0,0,1,0,0,0
148829,2006,0,0,1,0,0,0
148830,2006,0,0,1,0,0,0
148831,2006,0,0,1,0,0,0
148832,2006,0,0,1,0,0,0
148833,2006,0,0,1,0,0,0
148834,2006,0,0,1,0,0,0
148835,2006,0,0,1,0,0,0
148836,2006,0,0,1,0,0,0
148837,2006,0,1,0,0,0,0
148838,2006,0,1,0,0,0,0
148839,2006,0,1,0,0,0,0
148840,2006,0,0,1,0,0,0
148841,2006,0,0,1,0,0,0
148842,2006,0,1,0,0,0,0
148843,2006,0,1,0,0,0,0
148844,2006,0,1,0,0,0,0
148845,2006,0,0,1,0,0,0
148846,2006,0,0,1,0,0,0
148847,2006,0,0,1,0,0,0
148848,2006,0,1,0,0,0,0
148849,2006,1,0,0,0,0,0
148850,2006,1,0,0,0,0,0
148851,2006,1,0,0,0,0,0
148852,2006,1,0,0,0,0,0
148853,2006,0,0,1,0,0,0
148854,2006,0,0,0,1,0,0
148855,2006,0,0,1,0,0,0
148856,2006,0,0,1,0,0,0
148857,2006,0,0,1,0,0,0
148858,2006,0,1,0,0,0,0
148859,2006,0,0,1,0,0,0
148860,2006,0,0,1,0,0,0
148861,2006,0,1,0,0,0,0
148862,2006,0,1,0,0,0,0
148863,2006,1,0,0,0,0,0
148864,2006,0,0,1,0,0,0
148865,2006,0,0,1,0,0,0
148866,2006,0,1,0,0,0,0
148867,2006,0,1,0,0,0,0
148868,2006,1,0,0,0,0,0
148869,2006,0,0,1,0,0,0
148870,2006,0,1,0,0,0,0
148871,2006,1,0,0,0,0,0
148872,2006,0,1,0,0,0,0
148873,2006,0,1,0,0,0,0
148874,2006,0,1,0,0,0,0
148875,2006,0,0,1,0,0,0
148876,2006,0,0,1,0,0,0
148877,2006,0,0,1,0,0,0
148878,2006,0,0,1,0,0,0
148879,2006,0,1,0,0,0,0
148880,2006,0,1,0,0,0,0
148881,2006,0,1,0,0,0,0
148882,2006,0,1,0,0,0,0
148883,2006,0,1,0,0,0,0
148884,2006,1,0,0,0,0,0
148885,2006,1,0,0,0,0,0
148886,2006,1,0,0,0,0,0
148887,2006,1,0,0,0,0,0
148888,2006,1,0,0,0,0,0
148889,2006,1,0,0,0,0,0
148890,2006,1,0,0,0,0,0
148891,2006,1,0,0,0,0,0
148892,2006,1,0,0,0,0,0
148893,2006,1,0,0,0,0,0
148894,2006,1,0,0,0,0,0
148895,2006,1,0,0,0,0,0
148896,2006,1,0,0,0,0,0
148897,2006,1,0,0,0,0,0
148898,2006,1,0,0,0,0,0
148899,2006,1,0,0,0,0,0
148900,2006,1,0,0,0,0,0
148901,2006,1,0,0,0,0,0
148902,2006,1,0,0,0,0,0
148903,2006,1,0,0,0,0,0
148904,2006,0,0,0,1,0,0
